"state","name"
4,"Campeche"
3,"Baja California Sur"
2,"Baja California"
1,"Aguascalientes"
32,"Zacatecas"
31,"Yucatan"
30,"Veracruz de Ignacio de la Llave"
29,"Tlaxcala"
28,"Tamaulipas"
27,"Tabasco"
26,"Sonora"
25,"Sinaloa"
24,"San Luis Potosi"
23,"Quintana Roo"
22,"Queretaro"
21,"Puebla"
20,"Oaxaca"
19,"Nuevo Leon"
18,"Nayarit"
17,"Morelos"
16,"Michoacan de Ocampo"
15,"Mexico"
14,"Jalisco"
13,"Hidalgo"
12,"Guerrero"
11,"Guanajuato"
10,"Durango"
9,"Distrito Federal"
8,"Chihuahua"
7,"Chiapas"
6,"Colima"
5,"Coahuila de Zaragoza"
