FECHA,HORA,LAG,TAC,EAC,TLA,XAL,MER,PED,CES,PLA,HAN,UIZ,ARA,NET,IMP,BJU,TAX,MIN,CUI,TLI,ATI,VIF,SAG,VAL,AZC,CHA,TAH,SUR,IZT,CHO
1/01/08,1,1.5,0.9,-99.9,0.9,0.4,0.8,0.4,-99.9,0.9,-99.9,1.5,-99.9,-99.9,0.7,-99.9,1.1,-99.9,-99.9,-99.9,-99.9,2.4,1.3,2.1,-99.9,-99.9,-99.9,0.2,0.5,1.7
1/01/08,2,1.5,1.5,-99.9,1.1,1.0,0.8,0.3,-99.9,1.2,-99.9,2.2,-99.9,-99.9,0.8,-99.9,1.0,-99.9,-99.9,-99.9,-99.9,2.5,2.0,2.4,-99.9,-99.9,-99.9,0.6,0.8,1.9
1/01/08,3,1.7,1.6,-99.9,1.7,2.2,0.9,0.4,-99.9,1.1,-99.9,2.5,-99.9,-99.9,1.0,-99.9,1.8,-99.9,-99.9,-99.9,-99.9,3.3,2.2,2.5,-99.9,-99.9,-99.9,1.2,1.5,2.4
1/01/08,4,1.7,1.6,-99.9,1.6,3.4,1.2,0.4,-99.9,1.4,-99.9,2.5,-99.9,-99.9,1.0,-99.9,2.4,-99.9,-99.9,-99.9,-99.9,3.4,2.4,2.0,-99.9,-99.9,-99.9,1.6,3.1,2.8
1/01/08,5,1.7,1.7,-99.9,1.2,4.0,1.0,0.5,-99.9,1.1,-99.9,3.0,-99.9,-99.9,1.1,-99.9,1.9,-99.9,-99.9,2.5,-99.9,4.4,2.9,2.1,-99.9,-99.9,-99.9,1.2,0.9,2.6
1/01/08,6,1.5,1.4,-99.9,1.4,5.4,0.8,0.3,-99.9,0.8,-99.9,3.3,-99.9,-99.9,0.8,-99.9,1.7,-99.9,-99.9,2.7,-99.9,4.0,2.9,1.3,-99.9,-99.9,-99.9,1.2,0.8,2.6
1/01/08,7,1.5,1.2,-99.9,1.0,5.1,1.4,0.3,-99.9,0.8,-99.9,2.5,-99.9,-99.9,0.8,-99.9,2.1,-99.9,-99.9,2.3,-99.9,3.5,2.4,1.1,-99.9,-99.9,-99.9,1.0,1.0,2.7
1/01/08,8,1.3,1.3,-99.9,1.0,3.2,1.0,0.3,-99.9,0.8,-99.9,2.9,-99.9,-99.9,0.8,-99.9,2.9,-99.9,-99.9,2.6,-99.9,2.9,2.0,1.1,-99.9,-99.9,-99.9,1.1,2.3,2.3
1/01/08,9,1.1,1.0,-99.9,0.8,0.1,1.3,0.1,-99.9,0.4,-99.9,2.3,-99.9,-99.9,0.2,-99.9,1.6,-99.9,-99.9,1.4,-99.9,1.3,0.6,0.9,-99.9,-99.9,-99.9,0.2,1.7,2.3
1/01/08,10,0.6,0.6,-99.9,0.4,0.0,0.2,0.0,-99.9,0.3,-99.9,0.7,-99.9,-99.9,0.1,-99.9,0.3,-99.9,-99.9,0.8,-99.9,0.9,0.5,0.7,-99.9,-99.9,-99.9,0.0,0.1,1.7
