FECHA,HORA,TAC,EAC,SAG,TLA,XAL,MER,PED,CES,HAN,BJU,TLI,ATI,VIF,PLA,LAG,AZC,UIZ,TAX,TAH,SUR,IZT
1/01/08,1,0.006,0.005,0.019,0.004,0.005,0.029,0.000,0.020,-9.999,-9.999,-9.999,0.001,0.064,0.009,0.027,0.019,0.029,0.046,-9.999,-9.999,0.017
1/01/08,2,0.024,0.014,0.040,0.011,0.029,0.031,0.000,0.019,-9.999,-9.999,-9.999,0.000,0.089,0.026,0.027,0.014,0.052,0.034,-9.999,-9.999,0.032
1/01/08,3,0.022,0.029,0.036,0.050,0.095,0.032,0.000,0.050,-9.999,-9.999,-9.999,0.001,0.106,0.015,0.030,0.027,0.058,0.102,-9.999,-9.999,0.068
1/01/08,4,0.022,0.021,0.043,0.033,0.160,0.056,0.001,0.026,-9.999,-9.999,-9.999,0.001,0.114,0.027,0.038,0.037,0.059,0.135,-9.999,-9.999,0.095
1/01/08,5,0.030,0.007,0.063,0.015,0.191,0.033,0.000,0.047,-9.999,-9.999,-9.999,0.000,0.141,0.013,0.034,0.008,0.081,0.106,-9.999,-9.999,0.035
1/01/08,6,0.021,0.006,0.086,0.023,0.281,0.025,0.000,0.076,-9.999,-9.999,-9.999,0.000,0.120,0.002,0.026,0.010,0.086,0.080,-9.999,-9.999,0.025
1/01/08,7,0.013,0.003,0.043,0.008,0.258,0.054,0.000,0.042,-9.999,-9.999,-9.999,0.000,0.103,0.004,0.032,0.009,0.052,0.116,-9.999,-9.999,0.047
1/01/08,8,0.026,0.004,0.032,0.015,0.152,0.043,0.000,0.035,-9.999,-9.999,-9.999,0.001,0.062,0.012,0.023,0.006,0.072,0.219,-9.999,-9.999,0.112
1/01/08,9,0.017,0.015,0.000,0.013,0.004,0.062,0.005,0.051,-9.999,-9.999,-9.999,0.006,0.011,0.008,0.019,0.020,0.048,0.105,-9.999,-9.999,0.079
1/01/08,10,0.005,0.003,0.000,0.005,0.006,0.009,0.002,0.006,-9.999,-9.999,-9.999,0.003,0.005,0.005,0.004,0.006,0.006,0.021,-9.999,-9.999,0.007
1/01/08,11,0.004,0.004,0.000,0.006,0.007,0.010,0.000,0.002,-9.999,-9.999,-9.999,0.002,0.001,0.002,0.004,0.005,0.003,0.013,-9.999,-9.999,0.003
1/01/08,12,0.002,0.003,0.002,0.005,0.006,0.004,0.000,0.002,-9.999,-9.999,-9.999,0.002,0.001,0.003,0.003,0.001,0.002,0.015,-9.999,-9.999,0.000
1/01/08,13,0.002,0.003,0.002,0.006,0.007,0.002,0.000,0.005,-9.999,-9.999,-9.999,0.002,0.000,0.003,0.004,0.001,0.001,0.019,-9.999,-9.999,0.001
1/01/08,14,0.003,0.004,0.002,0.006,0.013,0.006,0.000,0.009,-9.999,-9.999,-9.999,0.002,0.000,0.004,0.006,0.002,-9.999,0.025,-9.999,-9.999,0.002
1/01/08,15,0.003,0.005,0.003,0.007,0.012,0.011,0.000,0.007,-9.999,-9.999,-9.999,0.002,0.001,0.004,0.007,0.003,-9.999,0.024,-9.999,-9.999,0.003
1/01/08,16,0.003,0.005,0.005,0.006,0.012,0.007,0.000,0.008,-9.999,-9.999,-9.999,0.003,0.001,0.007,0.008,0.004,0.002,0.038,-9.999,-9.999,0.004
1/01/08,17,0.004,0.005,0.003,0.006,0.014,0.008,0.000,0.006,-9.999,-9.999,-9.999,0.003,0.001,0.006,-9.999,0.006,0.002,0.031,-9.999,-9.999,0.004
1/01/08,18,0.003,0.004,0.002,0.006,0.012,0.008,0.000,0.006,-9.999,-9.999,-9.999,0.002,0.001,0.006,0.006,0.004,0.002,0.030,-9.999,-9.999,0.002
1/01/08,19,0.001,0.004,0.002,0.005,0.013,0.007,0.000,0.007,-9.999,-9.999,-9.999,0.003,0.002,0.004,0.006,0.000,0.001,0.027,-9.999,-9.999,0.002
1/01/08,20,0.002,0.004,0.001,0.005,0.014,0.006,0.000,0.004,-9.999,-9.999,-9.999,0.003,0.001,0.005,0.005,0.001,0.001,0.037,-9.999,-9.999,0.001
1/01/08,21,0.003,0.003,0.001,0.005,0.016,0.006,0.000,0.003,-9.999,-9.999,-9.999,0.002,0.002,0.005,0.005,0.000,0.001,0.021,-9.999,-9.999,0.001
1/01/08,22,0.003,0.002,0.001,0.006,0.017,0.007,0.000,0.002,-9.999,-9.999,-9.999,0.002,0.001,0.004,0.003,0.001,0.001,0.019,-9.999,-9.999,0.000
