FECHA,HORA,TAC,EAC,SAG,TLA,XAL,MER,PED,CES,HAN,BJU,TLI,ATI,VIF,PLA,LAG,AZC,UIZ,TAX,TAH,SUR,IZT
1/01/08,1,0.034,0.023,0.036,0.030,0.026,0.040,0.023,0.038,-9.999,-9.999,-9.999,0.017,0.040,0.032,0.041,0.033,0.040,0.036,-9.999,-9.999,0.038
1/01/08,2,0.037,0.024,0.038,0.032,0.034,0.039,0.019,0.037,-9.999,-9.999,-9.999,0.014,0.041,0.035,0.039,0.029,0.037,0.033,-9.999,-9.999,0.039
1/01/08,3,0.036,0.029,0.040,0.034,0.035,0.037,0.026,0.037,-9.999,-9.999,-9.999,0.013,0.046,0.035,0.040,0.031,0.035,0.031,-9.999,-9.999,0.036
1/01/08,4,0.035,0.027,0.040,0.033,0.035,0.036,0.023,0.036,-9.999,-9.999,-9.999,0.013,0.045,0.033,0.040,0.032,0.035,0.031,-9.999,-9.999,0.037
1/01/08,5,0.034,0.018,0.038,0.032,0.032,0.037,0.024,0.034,-9.999,-9.999,-9.999,0.012,0.041,0.032,0.037,0.027,0.036,0.031,-9.999,-9.999,0.036
1/01/08,6,0.031,0.014,0.033,0.032,0.031,0.036,0.018,0.033,-9.999,-9.999,-9.999,0.008,0.038,0.027,0.038,0.028,0.036,0.029,-9.999,-9.999,0.035
1/01/08,7,0.028,0.012,0.034,0.028,0.028,0.035,0.019,0.031,-9.999,-9.999,-9.999,0.006,0.034,0.027,0.038,0.027,0.036,0.027,-9.999,-9.999,0.035
1/01/08,8,0.031,0.014,0.029,0.028,0.023,0.036,0.019,0.029,-9.999,-9.999,-9.999,0.007,0.035,0.028,0.035,0.022,0.035,0.028,-9.999,-9.999,0.036
1/01/08,9,0.027,0.019,0.010,0.021,0.006,0.045,0.018,0.039,-9.999,-9.999,-9.999,0.015,0.017,0.023,0.028,0.024,0.037,0.036,-9.999,-9.999,0.046
1/01/08,10,0.012,0.005,0.007,0.008,0.004,0.016,0.010,0.019,-9.999,-9.999,-9.999,0.007,0.012,0.014,0.013,0.009,0.014,0.023,-9.999,-9.999,0.015
1/01/08,11,0.009,0.005,0.006,0.004,0.005,0.014,0.005,0.010,-9.999,-9.999,-9.999,0.004,0.003,0.008,0.010,0.006,0.007,0.015,-9.999,-9.999,0.008
1/01/08,12,0.007,0.004,0.005,0.000,0.004,0.009,0.006,0.008,-9.999,-9.999,-9.999,0.003,0.002,0.009,0.008,0.003,0.004,0.014,-9.999,-9.999,0.004
1/01/08,13,0.005,0.003,0.005,0.001,0.004,0.006,0.005,0.008,-9.999,-9.999,-9.999,0.003,0.002,0.009,0.006,0.001,0.003,0.011,-9.999,-9.999,0.003
1/01/08,14,0.006,0.004,0.006,0.001,0.006,0.009,0.004,0.010,-9.999,-9.999,-9.999,0.004,0.003,0.009,0.008,0.002,-9.999,0.010,-9.999,-9.999,0.005
1/01/08,15,0.007,0.005,0.006,0.001,0.006,0.011,0.007,0.010,-9.999,-9.999,-9.999,0.004,0.003,0.009,0.009,0.002,-9.999,0.012,-9.999,-9.999,0.005
1/01/08,16,0.010,0.006,0.008,0.004,0.007,0.009,0.009,0.010,-9.999,-9.999,-9.999,0.007,0.005,0.017,0.011,0.006,0.003,0.012,-9.999,-9.999,0.007
1/01/08,17,0.012,0.007,0.009,0.007,0.008,0.011,0.009,0.011,-9.999,-9.999,-9.999,0.008,0.006,0.015,-9.999,0.010,0.007,0.012,-9.999,-9.999,0.008
1/01/08,18,0.014,0.011,0.011,0.007,0.011,0.014,0.015,0.014,-9.999,-9.999,-9.999,0.010,0.006,0.021,0.013,0.012,0.008,0.016,-9.999,-9.999,0.010
1/01/08,19,0.009,0.015,0.014,0.007,0.015,0.019,0.011,0.017,-9.999,-9.999,-9.999,0.011,0.006,0.017,0.019,0.006,0.010,0.017,-9.999,-9.999,0.013
1/01/08,20,0.009,0.013,0.015,0.007,0.014,0.017,0.013,0.017,-9.999,-9.999,-9.999,0.014,0.006,0.017,0.016,0.008,0.011,0.018,-9.999,-9.999,0.015
1/01/08,21,0.015,0.013,0.014,0.007,0.016,0.018,0.012,0.017,-9.999,-9.999,-9.999,0.010,0.006,0.019,0.017,0.010,0.012,0.017,-9.999,-9.999,0.014
1/01/08,22,0.018,0.013,0.014,0.005,0.015,0.016,0.013,0.019,-9.999,-9.999,-9.999,0.009,0.005,0.016,0.017,0.010,0.018,0.015,-9.999,-9.999,0.011
1/01/08,23,0.013,0.012,0.015,0.006,0.011,0.018,0.013,0.016,-9.999,-9.999,-9.999,0.006,0.004,0.015,0.014,0.009,0.015,0.017,-9.999,-9.999,0.011
1/01/08,24,0.010,0.006,0.009,0.004,0.008,0.014,0.011,0.012,-9.999,-9.999,-9.999,0.005,0.003,0.014,0.012,0.011,0.013,0.014,-9.999,-9.999,0.009
2/01/08,1,0.009,0.006,0.006,0.003,0.004,0.011,0.009,0.009,-9.999,-9.999,-9.999,0.003,0.002,0.012,0.008,0.006,0.009,0.009,-9.999,-9.999,0.007
2/01/08,2,0.009,0.003,0.003,0.002,0.001,0.007,0.006,0.006,-9.999,-9.999,-9.999,0.003,0.005,0.009,0.005,0.008,0.006,0.008,-9.999,-9.999,0.004
2/01/08,3,0.010,-9.999,0.004,0.004,0.001,0.004,0.005,0.006,-9.999,-9.999,-9.999,0.003,0.007,0.007,0.004,0.007,-9.999,0.002,-9.999,-9.999,0.002
2/01/08,4,0.010,-9.999,0.006,0.004,0.002,0.005,0.007,0.007,-9.999,-9.999,-9.999,0.006,0.010,0.010,0.006,0.007,0.006,0.002,-9.999,-9.999,0.003
2/01/08,5,0.010,-9.999,0.005,0.005,0.004,0.007,0.008,0.008,-9.999,-9.999,-9.999,0.007,0.010,0.011,0.006,0.007,0.008,0.004,-9.999,-9.999,0.005
2/01/08,6,0.012,-9.999,0.006,0.010,0.013,0.009,0.010,0.010,-9.999,-9.999,-9.999,0.007,0.014,0.014,0.009,0.009,0.011,0.012,-9.999,-9.999,0.006
2/01/08,7,0.019,-9.999,0.008,0.013,0.021,0.016,0.016,0.016,-9.999,-9.999,-9.999,0.008,0.010,0.021,0.017,0.019,0.018,0.025,-9.999,-9.999,0.012
2/01/08,8,0.028,-9.999,0.014,0.017,0.020,0.027,0.022,0.020,-9.999,-9.999,-9.999,0.007,0.008,0.030,0.026,0.024,0.023,0.027,-9.999,-9.999,0.023
2/01/08,9,0.025,-9.999,0.013,0.016,0.023,0.026,0.024,0.023,-9.999,-9.999,-9.999,0.012,0.007,0.032,0.021,0.020,0.023,0.035,-9.999,-9.999,0.020
2/01/08,10,0.024,-9.999,0.012,0.019,0.028,0.028,0.024,0.021,-9.999,-9.999,-9.999,0.012,0.004,0.030,0.023,0.021,0.021,0.034,-9.999,-9.999,0.019
2/01/08,11,0.021,-9.999,-9.999,0.015,0.022,0.028,0.018,0.019,-9.999,-9.999,-9.999,0.011,0.005,0.025,0.024,0.017,0.027,0.033,-9.999,-9.999,0.023
2/01/08,12,0.018,-9.999,-9.999,0.011,0.023,0.031,0.014,0.023,-9.999,-9.999,-9.999,0.011,0.006,0.020,0.024,0.013,0.028,0.031,-9.999,-9.999,0.023
2/01/08,13,0.015,-9.999,-9.999,0.009,0.022,0.024,0.013,0.021,-9.999,-9.999,-9.999,0.010,0.006,0.019,0.021,0.010,0.023,0.027,-9.999,-9.999,0.018
2/01/08,14,0.016,-9.999,-9.999,0.011,0.021,0.027,0.014,0.016,-9.999,-9.999,0.000,0.012,0.005,0.020,0.023,0.011,0.018,0.024,-9.999,-9.999,0.018
2/01/08,15,0.016,-9.999,-9.999,0.010,0.018,0.025,0.013,0.017,-9.999,-9.999,0.000,0.010,0.005,0.018,0.021,0.011,0.018,0.028,-9.999,-9.999,0.014
2/01/08,16,0.017,-9.999,0.008,0.012,0.022,0.026,0.015,0.013,-9.999,-9.999,0.000,0.012,0.004,0.022,0.022,0.014,-9.999,0.029,-9.999,-9.999,0.015
2/01/08,17,0.018,0.014,0.009,0.015,0.021,0.029,0.018,0.018,-9.999,-9.999,0.000,0.015,0.005,0.025,0.025,0.017,0.021,0.030,-9.999,-9.999,0.016
2/01/08,18,0.023,0.013,0.012,0.023,0.024,0.028,0.020,0.027,-9.999,-9.999,0.003,0.013,0.006,0.029,0.030,0.020,0.024,0.033,-9.999,-9.999,0.022
2/01/08,19,0.027,0.017,0.018,0.025,0.026,0.031,0.023,0.029,-9.999,-9.999,0.008,0.014,0.008,0.028,0.030,0.027,0.027,0.036,-9.999,-9.999,0.028
2/01/08,20,0.034,0.018,0.017,0.021,0.025,0.034,0.021,0.027,-9.999,-9.999,0.006,0.018,0.009,0.028,0.029,0.024,0.027,0.034,-9.999,-9.999,0.026
2/01/08,21,0.034,0.016,0.021,0.020,0.026,0.028,0.019,0.022,-9.999,-9.999,0.005,0.013,0.010,0.028,0.028,0.024,0.028,0.027,-9.999,-9.999,0.021
2/01/08,22,0.024,0.012,0.023,0.021,0.027,0.031,0.016,0.026,-9.999,-9.999,0.012,0.011,0.012,0.022,0.029,0.024,0.029,0.034,-9.999,-9.999,0.032
2/01/08,23,0.019,0.010,0.016,-9.999,0.025,0.036,0.014,0.034,-9.999,-9.999,0.016,0.009,0.010,0.017,0.035,0.017,0.038,0.028,-9.999,-9.999,0.034
2/01/08,24,0.011,0.008,-9.999,-9.999,0.017,0.033,0.009,0.027,-9.999,-9.999,0.013,0.005,0.010,0.013,0.032,0.009,0.036,-9.999,-9.999,-9.999,0.027
3/01/08,1,0.008,0.006,0.015,-9.999,0.014,0.024,0.008,0.020,-9.999,-9.999,0.015,0.003,0.008,0.010,0.025,0.003,0.029,0.014,-9.999,-9.999,0.017
