FECHA,HORA,TAC,EAC,SAG,TLA,XAL,MER,PED,CES,HAN,BJU,TLI,ATI,VIF,PLA,LAG,AZC,UIZ,TAX,TAH,SUR,IZT
1/01/08,1,0.039,0.028,0.055,0.033,0.031,0.069,0.022,0.057,-9.999,-9.999,-9.999,0.018,0.104,0.041,0.067,0.052,0.069,0.082,-9.999,-9.999,0.055
1/01/08,2,0.061,0.038,0.079,0.043,0.063,0.070,0.018,0.056,-9.999,-9.999,-9.999,0.014,0.130,0.061,0.066,0.043,0.089,0.067,-9.999,-9.999,0.071
1/01/08,3,0.058,0.058,0.076,0.084,0.131,0.069,0.026,0.087,-9.999,-9.999,-9.999,0.014,0.152,0.050,0.070,0.058,0.093,0.133,-9.999,-9.999,0.104
1/01/08,4,0.057,0.048,0.083,0.066,0.196,0.092,0.022,0.062,-9.999,-9.999,-9.999,0.013,0.159,0.060,0.078,0.068,0.094,0.166,-9.999,-9.999,0.132
1/01/08,5,0.064,0.025,0.101,0.047,0.223,0.070,0.023,0.081,-9.999,-9.999,-9.999,0.013,0.182,0.045,0.070,0.035,0.117,0.138,-9.999,-9.999,0.072
1/01/08,6,0.052,0.020,0.119,0.055,0.312,0.061,0.016,0.109,-9.999,-9.999,-9.999,0.009,0.158,0.029,0.064,0.038,0.122,0.109,-9.999,-9.999,0.060
1/01/08,7,0.041,0.015,0.077,0.037,0.286,0.089,0.017,0.072,-9.999,-9.999,-9.999,0.006,0.137,0.031,0.070,0.036,0.088,0.144,-9.999,-9.999,0.082
1/01/08,8,0.057,0.018,0.061,0.043,0.174,0.079,0.019,0.064,-9.999,-9.999,-9.999,0.008,0.098,0.040,0.057,0.028,0.107,0.248,-9.999,-9.999,0.148
1/01/08,9,0.044,0.034,0.010,0.033,0.009,0.108,0.023,0.090,-9.999,-9.999,-9.999,0.021,0.028,0.030,0.047,0.043,0.085,0.142,-9.999,-9.999,0.125
1/01/08,10,0.016,0.008,0.007,0.013,0.011,0.025,0.012,0.025,-9.999,-9.999,-9.999,0.010,0.017,0.019,0.017,0.016,0.020,0.043,-9.999,-9.999,0.022
1/01/08,11,0.014,0.009,0.006,0.009,0.012,0.024,0.005,0.012,-9.999,-9.999,-9.999,0.006,0.004,0.010,0.014,0.011,0.010,0.027,-9.999,-9.999,0.010
1/01/08,12,0.009,0.007,0.007,0.004,0.010,0.013,0.005,0.010,-9.999,-9.999,-9.999,0.004,0.003,0.012,0.011,0.004,0.006,0.029,-9.999,-9.999,0.004
1/01/08,13,0.007,0.006,0.007,0.006,0.010,0.007,0.005,0.013,-9.999,-9.999,-9.999,0.005,0.002,0.012,0.011,0.002,0.005,0.030,-9.999,-9.999,0.004
1/01/08,14,0.008,0.008,0.008,0.007,0.019,0.014,0.003,0.019,-9.999,-9.999,-9.999,0.006,0.003,0.013,0.014,0.004,-9.999,0.035,-9.999,-9.999,0.007
1/01/08,15,0.010,0.010,0.009,0.008,0.018,0.022,0.007,0.017,-9.999,-9.999,-9.999,0.006,0.004,0.014,0.016,0.005,-9.999,0.036,-9.999,-9.999,0.008
1/01/08,16,0.013,0.010,0.013,0.010,0.020,0.016,0.009,0.018,-9.999,-9.999,-9.999,0.010,0.006,0.023,0.018,0.011,0.004,0.050,-9.999,-9.999,0.011
1/01/08,17,0.016,0.012,0.012,0.014,0.022,0.019,0.009,0.017,-9.999,-9.999,-9.999,0.010,0.007,0.021,-9.999,0.015,0.008,0.043,-9.999,-9.999,0.012
1/01/08,18,0.017,0.014,0.014,0.013,0.022,0.021,0.015,0.020,-9.999,-9.999,-9.999,0.012,0.007,0.026,0.018,0.016,0.009,0.046,-9.999,-9.999,0.013
1/01/08,19,0.010,0.019,0.015,0.012,0.028,0.026,0.010,0.024,-9.999,-9.999,-9.999,0.014,0.007,0.021,0.025,0.005,0.011,0.044,-9.999,-9.999,0.015
1/01/08,20,0.011,0.017,0.016,0.012,0.027,0.023,0.012,0.022,-9.999,-9.999,-9.999,0.017,0.008,0.022,0.021,0.009,0.012,0.055,-9.999,-9.999,0.017
1/01/08,21,0.018,0.016,0.015,0.012,0.032,0.024,0.011,0.020,-9.999,-9.999,-9.999,0.012,0.008,0.025,0.022,0.011,0.013,0.037,-9.999,-9.999,0.014
1/01/08,22,0.021,0.015,0.014,0.010,0.032,0.023,0.012,0.020,-9.999,-9.999,-9.999,0.011,0.006,0.020,0.020,0.010,0.020,0.034,-9.999,-9.999,0.011
1/01/08,23,0.014,0.013,0.014,0.011,0.021,0.024,0.012,0.016,-9.999,-9.999,-9.999,0.007,0.005,0.017,0.016,0.009,0.016,0.035,-9.999,-9.999,0.011
1/01/08,24,0.011,0.007,0.008,0.006,0.013,0.017,0.010,0.012,-9.999,-9.999,-9.999,0.005,0.004,0.016,0.013,0.012,0.013,0.026,-9.999,-9.999,0.008
2/01/08,1,0.010,0.006,0.004,0.006,0.006,0.012,0.007,0.008,-9.999,-9.999,-9.999,0.003,0.003,0.014,0.009,0.005,0.009,0.015,-9.999,-9.999,0.006
2/01/08,2,0.010,0.004,0.001,0.005,0.002,0.007,0.004,0.006,-9.999,-9.999,-9.999,0.003,0.006,0.010,0.006,0.007,0.006,0.013,-9.999,-9.999,0.003
2/01/08,3,0.011,-9.999,0.002,0.007,0.001,0.004,0.003,0.005,-9.999,-9.999,-9.999,0.003,0.007,0.008,0.005,0.006,-9.999,0.002,-9.999,-9.999,0.001
2/01/08,4,0.010,-9.999,0.005,0.008,0.003,0.005,0.005,0.007,-9.999,-9.999,-9.999,0.006,0.011,0.011,0.007,0.006,0.006,0.002,-9.999,-9.999,0.003
2/01/08,5,0.011,-9.999,0.003,0.008,0.007,0.007,0.006,0.008,-9.999,-9.999,-9.999,0.007,0.011,0.012,0.007,0.006,0.009,0.007,-9.999,-9.999,0.004
2/01/08,6,0.013,-9.999,0.006,0.014,0.031,0.011,0.008,0.010,-9.999,-9.999,-9.999,0.007,0.015,0.016,0.010,0.008,0.012,0.032,-9.999,-9.999,0.006
2/01/08,7,0.021,-9.999,0.008,0.019,0.053,0.025,0.015,0.017,-9.999,-9.999,-9.999,0.009,0.011,0.025,0.021,0.022,0.020,0.075,-9.999,-9.999,0.012
2/01/08,8,0.034,-9.999,0.016,0.027,0.055,0.053,0.021,0.023,-9.999,-9.999,-9.999,0.008,0.010,0.041,0.035,0.030,0.028,0.086,-9.999,-9.999,0.026
2/01/08,9,0.034,-9.999,0.016,0.028,0.063,0.054,0.026,0.029,-9.999,-9.999,-9.999,0.016,0.009,0.045,0.030,0.027,0.030,0.129,-9.999,-9.999,0.024
2/01/08,10,0.034,-9.999,0.017,0.034,0.081,0.068,0.028,0.027,-9.999,-9.999,-9.999,0.015,0.008,0.047,0.035,0.030,0.030,0.105,-9.999,-9.999,0.025
2/01/08,11,0.031,-9.999,-9.999,0.026,0.064,0.067,0.021,0.024,-9.999,-9.999,-9.999,0.014,0.009,0.041,0.036,0.025,0.045,0.089,-9.999,-9.999,0.033
2/01/08,12,0.027,-9.999,-9.999,0.018,0.061,0.080,0.016,0.034,-9.999,-9.999,-9.999,0.016,0.009,0.029,0.037,0.020,0.050,0.076,-9.999,-9.999,0.036
2/01/08,13,0.023,-9.999,-9.999,0.016,0.057,0.055,0.017,0.029,-9.999,-9.999,-9.999,0.014,0.008,0.028,0.032,0.016,0.040,0.065,-9.999,-9.999,0.027
2/01/08,14,0.024,-9.999,-9.999,0.019,0.064,0.064,0.017,0.020,-9.999,-9.999,0.001,0.018,0.008,0.028,0.034,0.016,0.029,0.051,-9.999,-9.999,0.024
