FECHA,HORA,LVI,TLA,XAL,MER,PED,CES,NET,TLI,VIF,TAH,SUR,EAC,HAN,PLA,SAG,TAX,IZT
1/01/08,1,83,96,67,90,61,54,-9999,-9999,376,75,86,58,-9999,93,110,67,97
1/01/08,2,118,115,131,117,64,75,-9999,-9999,363,138,179,53,-9999,116,215,97,189
1/01/08,3,140,178,219,127,70,131,-9999,-9999,457,87,141,61,-9999,121,209,128,287
1/01/08,4,159,136,271,153,58,127,-9999,-9999,419,225,117,46,-9999,104,236,189,308
1/01/08,5,161,98,269,98,66,130,-9999,-9999,462,208,127,36,-9999,73,248,97,229
1/01/08,6,187,94,293,103,57,164,-9999,-9999,409,160,82,40,-9999,67,249,97,123
1/01/08,7,149,65,303,133,47,107,-9999,-9999,322,87,87,31,-9999,49,203,92,127
1/01/08,8,133,91,257,84,37,85,-9999,-9999,287,157,76,37,-9999,35,219,93,172
1/01/08,9,170,122,90,168,59,175,-9999,-9999,135,126,78,80,-9999,82,71,77,213
1/01/08,10,36,61,41,55,51,66,-9999,-9999,101,137,84,45,-9999,55,47,81,144
1/01/08,11,28,34,36,39,27,31,-9999,-9999,112,61,44,35,-9999,41,55,43,49
1/01/08,12,44,25,127,69,26,57,-9999,-9999,75,66,31,43,-9999,28,343,40,35
1/01/08,13,153,77,183,266,57,96,-9999,-9999,215,121,76,44,-9999,54,529,122,121
1/01/08,14,161,136,370,205,140,186,-9999,-9999,150,274,229,173,-9999,132,264,219,312
1/01/08,15,103,45,125,137,113,227,-9999,-9999,54,172,173,73,-9999,87,356,155,238
1/01/08,16,121,71,247,262,63,284,-9999,-9999,114,221,103,76,-9999,47,1319,115,147
1/01/08,17,82,55,116,189,102,305,-9999,-9999,23,472,251,86,-9999,83,243,286,399
1/01/08,18,58,29,97,65,30,108,-9999,-9999,18,-9999,74,34,-9999,26,124,112,171
1/01/08,19,64,29,81,42,23,77,-9999,-9999,7,73,26,36,-9999,19,39,45,102
1/01/08,20,38,25,55,43,22,59,-9999,-9999,2,63,17,33,-9999,21,24,32,65
1/01/08,21,14,22,23,19,13,37,-9999,-9999,21,67,7,22,-9999,20,14,19,47
1/01/08,22,7,10,14,16,13,22,-9999,-9999,4,66,6,27,-9999,13,11,11,28
1/01/08,23,4,10,9,-9999,16,10,-9999,-9999,1,23,5,19,-9999,10,10,9,23
1/01/08,24,7,8,1,-9999,7,7,-9999,-9999,-9999,26,2,6,-9999,8,1,5,16
2/01/08,1,6,9,10,-9999,6,9,-9999,-9999,6,19,4,7,-9999,6,4,5,33
2/01/08,2,6,8,17,-9999,4,7,-9999,-9999,18,12,1,-9999,-9999,8,13,-9999,19
2/01/08,3,1,7,12,5,1,6,-9999,-9999,11,9,6,-9999,-9999,5,16,6,17
2/01/08,4,5,9,6,7,6,5,-9999,-9999,11,7,3,-9999,-9999,5,-9999,4,12
2/01/08,5,-9999,9,5,-9999,5,3,-9999,-9999,10,-9999,-9999,-9999,-9999,8,-9999,5,12
2/01/08,6,-9999,8,11,1,7,1,-9999,-9999,8,-9999,-9999,-9999,-9999,6,1,5,9
2/01/08,7,2,11,18,5,11,6,-9999,-9999,-9999,4,-9999,-9999,-9999,12,7,8,14
2/01/08,8,10,16,23,23,13,10,-9999,-9999,4,15,11,-9999,-9999,14,12,20,25
2/01/08,9,8,24,44,14,23,14,-9999,-9999,16,16,13,-9999,-9999,19,17,24,24
2/01/08,10,12,30,79,22,35,18,-9999,-9999,51,19,14,-9999,-9999,22,-9999,21,22
2/01/08,11,15,38,56,30,22,23,-9999,-9999,68,34,19,-9999,-9999,21,-9999,35,29
2/01/08,12,50,56,71,58,35,37,-9999,-9999,62,67,29,-9999,-9999,36,-9999,36,52
2/01/08,13,54,83,99,58,55,48,-9999,-9999,92,84,53,-9999,-9999,56,-9999,53,59
2/01/08,14,65,113,107,67,68,52,-9999,-9999,84,99,65,-9999,-9999,68,-9999,63,73
2/01/08,15,75,125,127,82,92,72,-9999,-9999,103,109,90,-9999,-9999,89,111,89,95
2/01/08,16,90,135,152,87,109,83,-9999,-9999,141,133,99,117,-9999,98,184,94,105
2/01/08,17,103,129,139,104,115,96,-9999,-9999,99,133,103,134,-9999,112,176,98,114
2/01/08,18,95,99,118,99,128,89,-9999,-9999,70,118,121,111,-9999,110,181,103,149
2/01/08,19,84,84,92,86,99,64,-9999,-9999,48,89,96,96,-9999,89,222,80,130
2/01/08,20,57,61,73,63,82,53,-9999,-9999,27,78,75,72,-9999,77,154,55,98
2/01/08,21,29,40,42,32,55,28,-9999,-9999,15,44,49,40,-9999,47,38,35,65
2/01/08,22,26,47,31,29,32,22,-9999,-9999,17,34,30,23,-9999,27,25,34,39
2/01/08,23,21,-9999,17,-9999,-9999,24,-9999,-9999,14,31,-9999,-9999,-9999,14,-9999,-9999,34
2/01/08,24,17,9,8,-9999,4,14,-9999,-9999,10,11,-9999,5,-9999,7,-9999,12,29
3/01/08,1,13,9,4,17,4,11,-9999,-9999,15,11,8,5,-9999,6,10,8,30
3/01/08,2,10,6,4,12,3,6,-9999,-9999,6,10,1,4,-9999,5,8,8,21
3/01/08,3,6,2,13,5,1,6,-9999,-9999,4,-9999,1,-9999,-9999,1,1,1,12
3/01/08,4,4,2,11,10,2,-9999,-9999,-9999,12,2,-9999,-9999,-9999,1,9,3,11
