FECHA,HORA,MER,TLA,COY,UIZ,SJA,SAG,PER,CAM,ACO
1/01/08,1,65,91,46,49,67,77,91,62,39
1/01/08,2,82,123,64,113,104,120,137,98,87
1/01/08,3,97,160,72,136,-9999,164,185,102,118
1/01/08,4,97,112,75,135,-9999,197,273,132,111
1/01/08,5,70,91,86,133,113,193,290,74,139
1/01/08,6,90,79,86,180,130,206,229,71,110
1/01/08,7,86,50,78,176,160,185,230,80,95
1/01/08,8,69,88,57,186,185,207,-9999,51,134
1/01/08,9,76,54,50,166,159,68,165,51,68
1/01/08,10,28,27,33,39,15,27,79,50,-9999
1/01/08,11,15,13,18,25,4,18,22,19,2
1/01/08,12,11,4,12,19,3,11,2,4,6
1/01/08,13,20,11,17,38,7,44,24,-9999,-9999
1/01/08,14,14,9,10,-9999,13,22,-9999,-9999,8
1/01/08,15,11,8,-9999,-9999,8,24,-9999,13,2
1/01/08,16,23,9,-9999,-9999,8,76,57,5,15
1/01/08,17,7,6,9,-9999,28,53,82,22,11
1/01/08,18,4,5,6,-9999,9,16,28,19,13
1/01/08,19,3,6,6,-9999,4,8,12,15,1
1/01/08,20,4,4,-9999,6,5,6,51,16,13
1/01/08,21,9,3,-9999,6,7,7,23,14,10
1/01/08,22,4,2,-9999,9,-9999,7,51,16,13
1/01/08,23,-9999,3,2,6,1,5,35,5,3
1/01/08,24,-9999,1,3,3,-9999,2,5,1,-9999
2/01/08,1,-9999,-9999,2,5,9,1,28,-9999,6
2/01/08,2,-9999,2,2,-9999,3,1,13,7,3
2/01/08,3,1,4,5,-9999,3,-9999,6,3,2
2/01/08,4,3,5,-9999,1,5,6,20,5,1
2/01/08,5,1,5,-9999,3,-9999,3,33,-9999,2
2/01/08,6,2,7,-9999,4,2,5,22,-9999,2
2/01/08,7,4,6,7,3,2,2,1,11,4
2/01/08,8,5,8,11,6,-9999,1,8,8,5
2/01/08,9,3,10,9,5,3,4,4,10,-9999
2/01/08,10,7,8,21,5,-9999,-9999,5,6,-9999
2/01/08,11,8,6,18,12,4,-9999,62,4,9
2/01/08,12,9,10,25,28,2,13,47,4,8
2/01/08,13,8,12,16,14,4,-9999,7,5,-9999
2/01/08,14,7,13,12,16,7,8,3,4,6
2/01/08,15,9,15,14,-9999,7,8,5,11,3
2/01/08,16,9,13,15,-9999,12,14,29,14,-9999
2/01/08,17,10,15,-9999,5,12,16,31,15,9
2/01/08,18,12,14,-9999,14,15,20,23,14,17
2/01/08,19,11,13,-9999,12,7,20,29,17,14
2/01/08,20,8,10,11,9,10,16,23,13,4
2/01/08,21,7,8,9,7,4,6,9,12,4
2/01/08,22,9,2,7,7,6,6,6,11,7
2/01/08,23,8,-9999,3,-9999,1,5,-9999,-9999,7
