FECHA,HORA,VAL,SUR,TAC,EAC,LLA,LPR,LVI,SAG,AZC,TLA,XAL,MER,PED,CES,HAN,ARA,NET,TLI,ATI,VIF,TAH,LAG,PLA,UIZ,BJU,TAX,ACO,IZT,CHO
1/01/08,1,0.010,0.013,0.006,0.013,0.003,0.006,0.007,0.005,0.023,0.026,0.004,0.010,0.005,0.008,-9.999,0.002,-9.999,-9.999,0.019,0.013,0.004,0.008,0.007,0.010,-9.999,0.007,0.003,0.010,0.006
1/01/08,2,0.016,0.023,0.007,0.011,0.009,0.015,0.012,0.011,0.028,0.020,0.009,0.015,0.004,0.009,-9.999,0.013,-9.999,-9.999,0.010,0.016,0.005,0.014,0.008,0.011,-9.999,0.007,0.007,0.016,0.007
1/01/08,3,0.013,0.015,0.003,0.009,0.010,0.016,0.017,0.008,0.013,0.021,0.013,0.017,0.005,0.010,-9.999,0.011,-9.999,-9.999,0.005,0.020,0.003,0.015,0.006,0.011,-9.999,0.008,0.010,0.015,0.008
1/01/08,4,0.012,0.010,0.000,0.007,0.009,0.015,0.013,0.009,0.010,0.011,0.013,0.012,0.003,0.008,-9.999,0.011,-9.999,-9.999,0.003,0.013,0.004,0.011,0.004,0.010,-9.999,0.009,0.007,0.014,0.009
1/01/08,5,0.010,0.007,0.000,0.006,0.007,0.015,0.012,0.008,0.005,0.007,0.011,0.010,0.004,0.008,-9.999,0.007,-9.999,0.011,0.001,0.011,0.004,0.006,0.003,0.008,-9.999,0.006,0.007,0.008,0.006
1/01/08,6,0.007,0.006,0.000,0.005,0.005,0.010,0.011,0.007,0.003,0.006,0.012,0.009,0.002,0.008,-9.999,0.005,-9.999,0.009,0.000,0.007,0.003,0.006,0.002,0.008,-9.999,0.004,0.005,0.005,0.005
1/01/08,7,0.006,0.005,0.000,0.004,0.004,0.009,0.008,0.006,0.002,0.004,0.009,0.008,0.002,0.006,-9.999,0.004,-9.999,0.007,0.000,0.005,0.001,0.005,0.001,0.007,-9.999,0.004,0.004,0.005,0.005
1/01/08,8,0.006,0.004,0.000,0.004,0.003,0.008,0.008,0.005,0.003,0.007,0.008,0.007,0.002,0.005,-9.999,0.004,-9.999,0.006,0.000,0.005,0.000,0.003,0.001,0.006,-9.999,0.005,0.004,0.006,0.005
1/01/08,9,0.004,0.008,0.007,0.015,0.001,0.004,0.008,0.003,0.012,0.013,0.005,0.009,0.018,0.007,-9.999,0.004,-9.999,0.007,0.006,0.003,0.000,0.005,0.015,0.007,-9.999,0.006,0.002,0.006,0.005
1/01/08,10,0.003,0.008,0.000,0.006,0.001,0.002,0.005,0.002,0.003,0.006,0.004,0.005,0.007,0.004,-9.999,0.003,-9.999,0.006,0.005,0.005,0.000,0.003,0.005,0.003,-9.999,0.005,0.001,0.002,0.006
1/01/08,11,0.002,0.004,0.000,0.005,0.001,0.001,0.004,0.001,0.001,0.003,0.004,0.005,0.002,0.003,-9.999,0.002,-9.999,0.003,0.000,0.001,0.000,0.001,0.002,0.002,-9.999,0.002,0.001,0.001,0.005
1/01/08,12,0.001,0.003,0.000,0.004,0.000,0.000,0.003,0.000,0.000,0.002,0.002,0.003,0.002,0.003,-9.999,0.000,-9.999,0.001,0.000,0.000,0.000,0.000,0.001,0.001,-9.999,0.001,0.000,0.000,0.003
1/01/08,13,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.000,0.000,0.002,0.002,0.002,0.001,0.003,-9.999,0.000,-9.999,0.001,0.000,0.000,0.000,0.000,0.001,0.000,-9.999,0.001,0.000,0.000,0.003
1/01/08,14,0.002,0.002,0.000,0.003,0.000,0.000,0.003,0.000,0.000,0.002,0.004,0.003,0.001,0.003,-9.999,0.000,-9.999,0.001,0.000,0.000,0.000,0.000,0.001,-9.999,-9.999,0.001,0.001,0.000,0.003
