FECHA,HORA,TAC,EAC,SAG,TLA,XAL,MER,PED,CES,PLA,HAN,VIF,CUA,TPN,CHA,TAH,IMP,SUR
01-01-2008,1,44,50,35,45,31,39,40,52,47,-999,46,39,51,54,-999,-999,-999
01-01-2008,2,48,50,39,44,35,41,38,55,50,-999,52,38,56,62,-999,-999,-999
01-01-2008,3,44,48,42,46,38,45,40,58,46,-999,58,38,56,67,-999,-999,-999
01-01-2008,4,45,49,45,46,43,46,46,57,48,-999,57,39,57,72,-999,-999,-999
01-01-2008,5,48,46,49,45,47,44,51,62,51,-999,62,40,63,73,-999,-999,-999
01-01-2008,6,51,50,53,47,50,49,54,64,54,-999,65,41,68,79,-999,-999,-999
01-01-2008,7,53,52,54,48,54,55,58,62,56,-999,65,42,65,80,-999,-999,-999
01-01-2008,8,51,51,56,50,54,49,56,68,57,-999,64,44,55,81,-999,-999,-999
01-01-2008,9,51,53,63,54,57,48,46,59,50,-999,59,50,46,68,-999,-999,-999
01-01-2008,10,56,59,56,55,54,51,49,54,53,-999,57,66,52,55,-999,-999,-999
01-01-2008,11,51,54,48,51,48,48,46,48,51,-999,48,62,52,47,-999,-999,-999
01-01-2008,12,46,47,39,44,35,40,43,41,45,-999,40,58,49,40,-999,-999,-999
01-01-2008,13,36,39,36,38,32,34,37,35,38,-999,43,51,43,38,-999,-999,-999
01-01-2008,14,44,47,44,47,46,40,36,33,37,-999,53,46,39,41,-999,-999,-999
01-01-2008,15,50,52,45,50,44,45,47,40,48,-999,51,58,48,46,-999,-999,-999
01-01-2008,16,52,55,52,54,48,47,50,43,49,-999,60,61,52,51,-999,-999,-999
01-01-2008,17,65,69,63,68,63,60,59,56,59,-999,65,74,61,60,-999,-999,-999
01-01-2008,18,67,70,63,68,63,62,67,60,66,-999,68,81,68,60,-999,-999,-999
01-01-2008,19,63,68,64,64,62,61,65,61,64,-999,66,81,68,63,-999,-999,-999
01-01-2008,20,62,67,65,64,63,62,64,62,62,-999,63,78,68,65,-999,-999,-999
01-01-2008,21,62,65,64,63,65,62,64,61,62,-999,64,78,67,65,-999,-999,-999
01-01-2008,22,64,66,66,65,68,62,65,62,64,-999,65,77,68,65,-999,-999,-999
01-01-2008,23,65,67,66,65,67,62,66,62,65,-999,65,78,69,63,-999,-999,-999
01-01-2008,24,65,67,68,65,66,62,67,63,65,-999,64,79,69,63,-999,-999,-999
02-01-2008,1,65,67,68,65,66,63,67,63,65,-999,64,80,71,68,-999,-999,-999
02-01-2008,2,65,68,68,67,67,63,67,64,65,-999,71,80,71,69,-999,-999,-999
02-01-2008,3,68,-999,69,70,69,65,69,66,67,-999,78,82,72,68,-999,-999,-999
02-01-2008,4,70,-999,73,71,71,68,71,67,69,-999,80,83,74,69,-999,-999,-999
02-01-2008,5,71,-999,71,72,71,69,71,67,70,-999,81,83,74,69,-999,-999,-999
02-01-2008,6,71,-999,71,71,70,67,72,67,70,-999,81,84,73,70,-999,-999,-999
02-01-2008,7,71,-999,71,72,69,66,72,67,70,-999,78,84,75,71,-999,-999,-999
02-01-2008,8,71,-999,71,71,69,67,72,66,70,-999,76,83,74,70,-999,-999,-999
02-01-2008,9,69,-999,67,70,67,64,71,65,69,-999,69,83,73,64,-999,-999,-999
02-01-2008,10,66,-999,63,67,61,60,69,62,66,-999,58,82,72,60,-999,-999,-999
02-01-2008,11,62,-999,54,64,55,57,64,60,63,-999,54,78,68,54,-999,-999,-999
02-01-2008,12,58,-999,49,56,51,52,60,55,59,-999,52,75,63,48,-999,53,-999
02-01-2008,13,51,-999,48,51,49,48,54,51,54,-999,49,70,59,45,-999,49,-999
02-01-2008,14,49,-999,-999,49,47,45,51,47,50,-999,47,67,56,42,-999,47,-999
02-01-2008,15,48,-999,-999,47,44,44,48,45,48,-999,47,62,54,41,-999,46,-999
02-01-2008,16,48,-999,43,48,46,44,49,44,48,-999,47,61,52,41,-999,46,-999
02-01-2008,17,49,53,46,50,46,45,51,45,50,-999,51,62,53,43,-999,47,-999
02-01-2008,18,54,58,51,53,49,49,55,50,54,-999,53,66,56,48,-999,49,-999
02-01-2008,19,56,61,55,56,54,52,59,54,57,-999,57,71,61,55,-999,51,-999
02-01-2008,20,57,61,59,59,58,55,61,56,59,-999,62,74,64,60,-999,54,-999
02-01-2008,21,61,64,60,62,60,58,63,60,60,-999,65,76,66,64,-999,58,-999
02-01-2008,22,64,67,60,65,61,60,67,62,65,-999,67,78,69,66,-999,62,-999
02-01-2008,23,67,71,62,68,62,63,70,66,67,-999,69,78,74,69,-999,65,-999
02-01-2008,24,70,73,64,71,64,66,70,69,68,-999,70,79,76,70,-999,67,-999
03-01-2008,1,72,75,67,72,66,69,72,73,70,-999,73,80,80,74,-999,70,-999
03-01-2008,2,74,77,69,74,67,70,74,75,72,-999,74,81,83,77,-999,72,-999
03-01-2008,3,74,78,69,74,70,72,75,77,73,-999,75,82,81,80,-999,72,-999
03-01-2008,4,74,79,71,75,70,73,78,80,74,-999,77,80,85,82,-999,73,-999
03-01-2008,5,75,83,73,75,71,73,79,81,74,-999,79,81,87,84,-999,74,-999
03-01-2008,6,75,85,75,77,72,73,81,83,76,-999,80,81,88,86,-999,74,-999
03-01-2008,7,76,87,76,77,73,74,82,83,78,-999,79,81,89,86,-999,75,-999
03-01-2008,8,76,86,78,76,73,75,80,83,77,-999,80,81,89,87,-999,74,-999
03-01-2008,9,69,71,72,71,67,67,66,72,69,-999,74,77,87,76,-999,67,-999
03-01-2008,10,61,63,64,63,62,60,56,62,62,-999,67,69,61,68,-999,60,-999
03-01-2008,11,55,55,56,55,53,53,48,54,54,-999,57,61,52,59,-999,54,-999
03-01-2008,12,47,49,49,48,47,48,43,46,48,-999,50,54,46,52,-999,48,-999
03-01-2008,13,42,43,43,42,40,42,37,41,43,-999,44,49,42,45,-999,42,-999
03-01-2008,14,38,39,37,39,35,37,34,37,37,-999,39,46,38,40,-999,37,-999
03-01-2008,15,36,37,34,36,32,34,33,34,34,-999,36,44,35,36,-999,34,-999
03-01-2008,16,34,34,32,34,31,32,32,32,34,-999,35,41,34,33,-999,31,-999
03-01-2008,17,34,34,33,34,31,31,32,32,34,-999,39,40,35,32,-999,30,-999
03-01-2008,18,35,36,40,39,35,32,35,37,37,-999,47,41,43,35,-999,34,-999
03-01-2008,19,47,49,50,51,44,40,48,46,45,-999,55,46,60,50,-999,45,-999
03-01-2008,20,55,58,57,58,48,50,53,53,52,-999,64,56,63,58,-999,53,-999
03-01-2008,21,64,67,63,67,53,57,60,59,59,-999,71,63,68,67,-999,60,-999
03-01-2008,22,71,73,67,72,58,64,65,64,64,-999,77,67,76,75,-999,66,-999
03-01-2008,23,75,77,72,77,64,70,70,70,69,-999,81,73,80,81,-999,71,-999
03-01-2008,24,79,81,76,79,69,73,76,75,72,-999,83,77,83,86,-999,74,-999
04-01-2008,1,80,83,78,81,73,75,80,79,76,-999,84,79,85,91,-999,77,-999
04-01-2008,2,82,86,82,83,76,80,82,82,80,-999,84,84,86,93,-999,79,-999
04-01-2008,3,83,87,85,85,78,82,84,85,82,-999,85,88,87,93,-999,80,-999
04-01-2008,4,84,89,87,86,81,84,82,88,82,-999,87,90,89,92,-999,82,-999
04-01-2008,5,85,90,89,87,83,87,86,91,82,-999,87,86,89,91,-999,83,-999
04-01-2008,6,85,92,93,87,87,90,90,93,85,-999,86,80,90,94,-999,83,-999
04-01-2008,7,87,91,96,83,90,92,92,93,87,-999,86,73,90,97,-999,83,-999
04-01-2008,8,86,91,97,82,89,94,91,94,86,-999,86,79,91,98,-999,86,-999
04-01-2008,9,83,84,96,81,88,92,80,90,82,-999,85,70,93,99,-999,83,-999
04-01-2008,10,73,73,86,73,78,80,66,78,71,-999,81,59,77,96,-999,73,-999
04-01-2008,11,62,61,72,63,65,66,54,64,61,-999,70,51,55,75,-999,-999,-999
04-01-2008,12,51,51,58,52,52,54,44,52,51,-999,56,47,46,57,-999,-999,-999
04-01-2008,13,42,41,44,41,41,43,35,41,42,-999,44,41,38,46,-999,-999,-999
04-01-2008,14,34,34,35,33,32,34,30,33,35,-999,34,37,32,35,-999,-999,-999
04-01-2008,15,29,29,30,28,27,27,27,28,29,-999,28,34,28,30,-999,-999,-999
04-01-2008,16,26,26,26,26,24,23,24,25,25,-999,25,31,25,28,-999,23,-999
04-01-2008,17,26,24,22,24,22,24,23,25,25,-999,23,29,26,23,-999,25,-999
04-01-2008,18,23,24,24,23,22,24,26,30,31,-999,28,30,41,26,-999,20,-999
04-01-2008,19,28,32,32,30,29,25,38,41,34,-999,36,33,50,42,-999,27,-999
04-01-2008,20,37,40,42,38,38,35,43,51,40,-999,44,42,51,48,-999,35,-999
04-01-2008,21,42,45,44,43,40,40,47,52,48,-999,50,47,60,54,-999,41,-999
04-01-2008,22,46,49,46,46,43,43,50,55,51,-999,54,50,62,64,-999,45,-999
04-01-2008,23,52,54,52,50,49,46,53,56,54,-999,56,52,62,64,-999,48,-999
04-01-2008,24,55,65,60,56,58,52,55,63,57,-999,59,54,68,68,-999,51,-999
05-01-2008,1,59,71,64,59,62,59,59,67,61,-999,63,56,65,71,-999,55,-999
05-01-2008,2,62,74,64,61,64,63,58,69,66,-999,65,56,65,78,-999,56,-999
05-01-2008,3,64,78,68,63,67,67,60,73,68,-999,69,55,64,83,-999,60,-999
05-01-2008,4,66,77,70,66,68,69,64,72,69,-999,73,54,71,84,-999,60,-999
05-01-2008,5,67,78,74,66,69,74,68,78,72,-999,77,54,75,85,-999,64,-999
05-01-2008,6,67,83,74,68,73,77,70,83,72,-999,75,55,80,88,-999,66,-999
05-01-2008,7,68,84,77,69,74,79,73,85,72,-999,77,58,82,85,-999,66,-999
05-01-2008,8,68,84,76,69,75,80,74,86,76,-999,78,57,84,88,-999,66,-999
05-01-2008,9,59,69,72,60,69,69,58,72,69,-999,71,52,74,75,-999,59,-999
05-01-2008,10,53,52,64,51,59,60,50,60,55,-999,61,46,51,62,-999,51,-999
05-01-2008,11,47,46,51,45,47,49,42,48,47,-999,51,43,41,51,-999,46,-999
05-01-2008,12,38,38,41,36,39,38,33,37,39,-999,40,40,34,42,-999,36,-999
05-01-2008,13,31,31,32,30,32,30,28,31,32,-999,32,30,28,35,-999,31,-999
05-01-2008,14,21,21,21,20,19,22,20,23,23,-999,25,26,22,27,-999,24,-999
05-01-2008,15,19,20,20,18,19,22,20,19,22,-999,18,28,21,22,-999,19,-999
05-01-2008,16,20,21,20,20,20,21,21,20,22,-999,18,27,21,18,-999,18,-999
05-01-2008,17,21,22,20,21,19,20,24,23,23,-999,17,28,23,16,-999,18,-999
05-01-2008,18,23,25,20,19,20,20,29,29,28,-999,16,30,38,19,-999,19,-999
05-01-2008,19,32,37,22,20,20,28,39,38,37,-999,20,36,46,39,-999,18,-999
05-01-2008,20,38,42,43,32,33,39,39,44,42,-999,25,39,44,44,-999,27,-999
05-01-2008,21,40,47,44,38,44,44,42,46,46,-999,34,41,50,48,-999,39,-999
05-01-2008,22,45,53,45,41,47,48,44,50,49,-999,36,40,53,52,-999,42,-999
05-01-2008,23,44,48,47,42,46,50,43,55,46,-999,41,37,54,58,-999,41,-999
05-01-2008,24,45,50,43,41,48,49,46,59,48,-999,46,38,53,58,-999,40,-999
06-01-2008,1,46,56,47,45,49,49,53,57,52,-999,50,47,56,63,-999,42,-999
06-01-2008,2,50,59,52,47,54,55,52,62,58,-999,53,48,51,71,-999,45,-999
06-01-2008,3,53,64,56,49,57,57,51,69,59,-999,54,52,52,69,-999,46,-999
06-01-2008,4,58,64,60,53,58,60,55,66,61,-999,55,45,59,73,-999,49,-999
06-01-2008,5,64,69,59,57,59,66,58,68,63,-999,57,45,59,76,-999,50,-999
06-01-2008,6,66,73,61,60,62,68,54,71,64,-999,61,46,63,78,-999,56,-999
06-01-2008,7,67,77,66,64,65,70,56,70,62,-999,61,44,62,77,-999,56,-999
06-01-2008,8,68,79,66,64,64,69,66,69,68,-999,64,44,62,75,-999,56,-999
06-01-2008,9,59,66,58,57,58,57,47,55,60,-999,60,39,51,61,-999,49,-999
06-01-2008,10,50,48,49,47,48,47,43,46,51,-999,53,40,41,50,-999,46,-999
06-01-2008,11,39,38,40,36,39,39,34,39,41,-999,42,36,35,39,-999,39,-999
06-01-2008,12,32,32,34,33,32,32,27,32,33,-999,34,34,27,34,-999,31,-999
06-01-2008,13,27,26,28,26,27,26,24,27,27,-999,28,28,-999,28,-999,25,-999
06-01-2008,14,22,22,20,21,19,21,21,22,23,-999,22,27,-999,21,-999,19,-999
06-01-2008,15,19,19,16,18,16,17,18,16,20,-999,17,24,-999,18,-999,16,-999
06-01-2008,16,16,16,13,16,13,13,15,12,17,-999,13,21,12,15,-999,13,-999
06-01-2008,17,16,17,14,16,13,11,15,12,16,-999,15,19,17,14,-999,12,-999
06-01-2008,18,16,18,15,16,14,15,17,17,18,-999,16,23,19,17,-999,13,-999
06-01-2008,19,24,22,21,19,17,20,24,26,26,-999,16,32,28,24,-999,18,-999
06-01-2008,20,29,24,29,24,25,27,26,29,34,-999,20,36,22,29,-999,23,-999
06-01-2008,21,31,32,31,29,29,32,24,33,33,-999,26,36,20,33,-999,26,-999
06-01-2008,22,36,38,37,31,33,33,30,38,37,-999,33,35,20,28,-999,28,-999
06-01-2008,23,43,44,34,34,35,35,39,42,38,-999,33,43,30,37,-999,31,-999
06-01-2008,24,47,52,35,39,39,37,32,44,40,-999,37,45,37,40,-999,34,-999
07-01-2008,1,51,58,40,47,40,40,27,48,42,-999,41,36,36,31,-999,39,-999
07-01-2008,2,53,63,40,52,42,42,31,47,42,-999,44,29,33,-999,-999,42,-999
07-01-2008,3,48,64,47,53,46,46,35,45,43,-999,49,37,30,-999,-999,41,-999
07-01-2008,4,50,70,50,54,48,48,41,42,40,-999,54,47,34,-999,-999,51,-999
07-01-2008,5,58,71,50,56,50,50,46,47,41,-999,53,54,42,-999,-999,55,-999
07-01-2008,6,61,75,52,59,53,54,46,51,47,-999,52,50,44,-999,-999,56,-999
07-01-2008,7,63,77,51,61,53,56,52,58,53,-999,55,45,51,-999,-999,55,-999
07-01-2008,8,63,76,48,61,54,54,54,59,53,-999,57,37,57,-999,-999,52,-999
07-01-2008,9,50,59,40,52,46,44,39,52,48,-999,55,32,48,-999,-999,41,-999
07-01-2008,10,39,37,35,39,35,36,31,41,38,-999,47,29,30,-999,-999,33,-999
07-01-2008,11,32,32,35,32,30,30,26,34,30,-999,36,28,27,-999,-999,-999,-999
07-01-2008,12,23,26,27,24,23,25,21,28,23,-999,28,28,24,-999,-999,-999,-999
07-01-2008,13,20,21,21,19,18,21,19,23,21,-999,20,27,23,-999,-999,-999,-999
07-01-2008,14,20,20,19,17,17,18,18,21,19,-999,17,27,22,-999,-999,-999,-999
07-01-2008,15,20,20,18,19,17,18,18,18,20,-999,15,24,22,-999,-999,17,-999
07-01-2008,16,21,20,18,19,-999,17,21,18,20,-999,17,22,21,-999,-999,17,-999
07-01-2008,17,20,20,19,20,-999,18,25,21,22,-999,19,24,25,-999,-999,17,-999
